Office,Location,Address Line 1,Address Line 2,City,State,Zipcode,Lat,Lng,FloorplanURL,EmergencyPlanURL
LJA Engineering,LOTT,128 S Tryon St,#1841,Charlotte,NC,28202,35.22712505,-80.84476632,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/NorthCarolina/Charlotte,%20NC_(LOTT)_101NTryonSt.pdf?csf=1&web=1&e=hqHMk0","https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/NorthCarolina/EmergencyFloorplans/Charlotte,%20NC_(LOTT)_101NTryonSt_EmergencyPlan.pdf?csf=1&web=1&e=a27N7i"
LJA Engineering,LOVE,2725 Rocky Mountain Ave,Suite 45,Loveland,CO,80538,40.41990779,-105.0016851,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Colorado/Loveland,%20CO_(LOVE)_2725RockyMountainAve.pdf?csf=1&web=1&e=QCwfjX","https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Colorado/EmergencyFloorplans/TBD_Loveland,%20CO_(LOVE)_2725RockyMountainAve_EmergencyPlan.pdf?csf=1&web=1&e=CfH1Yg"
LJA Engineering,LUB2,3907 98th St,#100,Lubbock,TX,79424,33.5052268,-101.8981497,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Texas/Lubbock,%20TX_(LUB2)_3907%263911.98thSt.pdf?csf=1&web=1&e=cLa54c","https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Texas/EmergencyFloorplans/Lubbock,%20TX_(LUB2)_3907%263911.98thSt_EmergencyPlan.pdf?csf=1&web=1&e=8amUYF"
LJA Engineering,MCKI,2150 S. Central Expressway,Suite 300,Mckinney,TX,75070,33.18260332,-96.64183369,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Texas/Mckinney,%20TX_(MCKI)_2150SCentralExpy.pdf?csf=1&web=1&e=oecz1u","https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Texas/EmergencyFloorplans/TBD_Mckinney,%20TX_(MCKI)_2150SCentralExpy_EmergencyPlan.pdf?csf=1&web=1&e=7dQlKT"
BSE Consultants,MELB,312 S. Harbour City Blvd,Suite 4,Melbourne,FL,32901,28.10426864,-80.6155753,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Florida/Melbourne,%20FL_(MELB)_312SHarbourCityBlvd.pdf?csf=1&web=1&e=oN16W9","https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Florida/EmergencyFloorplans/TBD_Melbourne,%20FL_(MELB)_312SHarbourCityBlvd_EmergencyPlan.pdf?csf=1&web=1&e=bBQWcO"
LJA Engineering,MIDL,6 Desta Drive,Suite 1800,Midland,TX,79705,32.03072941,-102.0856774,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Texas/Midland,%20TX_(MIDL)_6DestaDr.pdf?csf=1&web=1&e=CcpD01","https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Texas/EmergencyFloorplans/Midland,%20TX_(MIDL)_6DestaDr_EmergencyPlan.pdf?csf=1&web=1&e=D64ca0"
LJA Engineering,MIRA,495 Grand Boulevard,Suite 206,Miramar Beach,FL,32550,X,X,X,X
LJA Engineering,MOBI,11 North Water St,10th Floor,Mobile,AL,36602,X,X,X,X
LJA Environmental,MOOR,2900 S Telephone Rd,Suite 100,Moore,OK,73160,35.31182986,-97.49381848,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Oklahoma/Moore,%20OK_(MOOR)_2900STelephoneRd.pdf?csf=1&web=1&e=NH0A2U","https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Oklahoma/EmergencyFloorplans/Moore,%20OK_(MOOR)_2900STelephoneRd_EmergencyPlan.pdf?csf=1&web=1&e=Moq53T"
LJA Engineering,MURF,1500 Medical Center Pkwy,Suite 2-C,Murfreesboro,TN,37129,35.86163732,-86.4172361,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Tennessee/Murfreesboro,%20TN_(MURF)_1500MedicalCenterPkwy.pdf?csf=1&web=1&e=L5xyUk","https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Tennessee/EmergencyFloorplans/TBD_Murfreesboro,%20TN_(MURF)_1500MedicalCenterPkwy_EmergencyPlan.pdf?csf=1&web=1&e=uyssjo"
David Plummer and Associates,MYE2,2149 McGregor Blvd,,Fort Myers,FL,33901,26.63781769,-81.87598326,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Florida/FortMyers,%20FL_(MYE2)_2149McGregorBlvd.pdf?csf=1&web=1&e=TfYSLd","https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Florida/EmergencyFloorplans/TBD_FortMyers,%20FL_(MYE2)_2149McGregorBlvd_EmergencyPlan.pdf?csf=1&web=1&e=qmkV6o"
LJA Engineering,NAPL,7400 Trail Blvd,Suite 200,Naples,FL,34108,26.2452498,-81.79967899,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Florida/Naples,%20FL_(NAPL)_7400TrailBlvd.pdf?csf=1&web=1&e=FpZOzZ","https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Florida/EmergencyFloorplans/TBD_Naples,%20FL_(NAPL)_7400TrailBlvd_EmergencyPlan.pdf?csf=1&web=1&e=wDKNa3"
LJA Engineering,NASH,222 2nd Ave S,Suite 1700,Nashville,TN,37201,36.15965845,-86.77331516,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Tennessee/Nashville,%20TN_(NASH)_222.2ndAveS.pdf?csf=1&web=1&e=fCN5mw","https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Tennessee/EmergencyFloorplans/Nashville,%20TN_(NASH)_222.2ndAveS_EmergencyPlan.pdf?csf=1&web=1&e=59IIrF"
LJA Engineering,NEW2,401 Main Plaza,Suite 200,New Braunfels,TX,78130,29.70279576,-98.12543386,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Texas/NewBraunfels,%20TX_(NEW2)_401MainSt.pdf?csf=1&web=1&e=cvVvIr","https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Texas/EmergencyFloorplans/NewBraunfels,%20TX_(NEW2)_401MainSt_EmergencyPlan.pdf?csf=1&web=1&e=MIwuOI"
Donald W McIntosh Associates,ORL2,1950 Summit Park Dr,Suite 600,Orlando,FL,32810,28.63759083,-81.40201063,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Florida/Orlando,%20FL_(ORL2)_1950SummitParkDr.pdf?csf=1&web=1&e=NPwfS7","https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Florida/EmergencyFloorplans/Orlando,%20FL_(ORL2)_1950SummitParkDr_EmergencyPlan.pdf?csf=1&web=1&e=GdHT86"
LJA Engineering,PEA2,2011 E Broadway St,Suite 130,Pearland,TX,77581,29.54950188,-95.24517177,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Texas/Pearland,%20TX_(PEA2)_2011EBroadway.pdf?csf=1&web=1&e=eUoHvg","https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Texas/EmergencyFloorplans/Pearland,TX_(PEA2)_2011EBroadwayst_EmergencyPlan.pdf?csf=1&web=1&e=XSjRTJ"
LJA Engineering,PEN3,901 W Garden St,,Pensacola,FL,32502,30.41111658,-87.22747047,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Florida/Pensacola,%20FL_(PEN3)_901WGardenSt.pdf?csf=1&web=1&e=S2NwNm","https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Florida/EmergencyFloorplans/Pensacola,%20FL_(PEN3)_901WGardenSt_EmergencyPlan.pdf?csf=1&web=1&e=VCQKLK"
LJA Engineering,PHOE,426 North 44th St,Suite 300,Phoenix,AZ,85008,33.45330082,-111.9879539,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Arizona/Phoenix,%20AZ_(PHOE)_426North44thSt.pdf?csf=1&web=1&e=u12HCd","https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Arizona/EmergencyFloorplans/Phoenix,%20AZ_(PHOE)_426North44thSt_EmergencyPlan.pdf?csf=1&web=1&e=Fp3FTy"
C E Group,PITT,367 Freedom Pkwy,"Building 1, Suite 220",Pittsboro,NC,27312,X,X,X,X
C E Group,RAL2,510 Glenwood,Suite 215,Raleigh,NC,27603,35.78729733,-78.64676576,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/NorthCarolina/Raleigh,%20NC_(RAL2)_510GlenwoodAve.pdf?csf=1&web=1&e=Ou7Wov","https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/NorthCarolina/EmergencyFloorplans/TBD_Raleigh,%20NC_(RAL2)_510GlenwoodAve_EmergencyPlan.pdf?csf=1&web=1&e=GqyxT3"
C E Group,RALE,301 Glenwood Ave,Suite 220,Raleigh,NC,27603,X,X,X,X
LJA Engineering,RENO,5470 Kietzke Lane,Suite 300,Reno,NV,89511,39.46510388,-119.7892087,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Nevada/Reno,%20NV_(RENO)_5470KietzkeLn.pdf?csf=1&web=1&e=RdNpxv","https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Nevada/EmergencyFloorplans/Reno,%20NV_(RENO)_5470KietzkeLn_EmergencyPlan.pdf?csf=1&web=1&e=ypseSe"
G&R Surveying,ROU2,409 W Main St,,Round Rock,TX,78664,X,X,X,X
LJA Engineering,ROUN,2700 La Frontera Blvd,Suite 200,Round Rock,TX,78681,30.4803333,-97.68573185,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Texas/RoundRock,%20TX_(ROUN)_2700LaFronteraBlvd.pdf?csf=1&web=1&e=I5DJ0h","https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Texas/EmergencyFloorplans/RoundRock,%20TX_(ROUN)_2700LaFronteraBlvd_EmergencyPlan.pdf?csf=1&web=1&e=1Mlo7s"
LJA Engineering,SAN2,9830 Colonnade Blvd,Suite 300,San Antonio,TX,78230,29.53490328,-98.56254108,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Texas/SanAntonio,%20TX_(SAN2)_9830ColonnadeBlvd.pdf?csf=1&web=1&e=qV54ek","https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Texas/EmergencyFloorplans/TBD_SanAntonio,%20TX_(SAN2)_9830ColonnadeBlvd_EmergencyPlan.pdf?csf=1&web=1&e=A3nq55"
LJA Engineering,SAR2,6710 Professional Pkwy,Suite 301,Sarasota,FL,34240,27.38151944,-82.44198411,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Florida/Sarasota,%20FL_(SAR2)_6710ProfessionalPkwy.pdf?csf=1&web=1&e=nA6aEp","https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Florida/EmergencyFloorplans/Sarasota,%20FL_(SAR2)_6710ProfessionalPkwy_EmergencyPlan.pdf?csf=1&web=1&e=8yHlnI"
LJA Surveying,SIMP,107 Hillcrest Ave,,Simpsonville,SC,29681,34.74309723,-82.25985036,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/SouthCarolina/Simpsonville,%20SC_(SIMP)_107HillcrestAve.pdf?csf=1&web=1&e=wAwR0o","https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/SouthCarolina/EmergencyFloorplans/TBD_Simpsonville,%20SC_(SIMP)_107HillcrestAve_EmergencyPlan.pdf?csf=1&web=1&e=jV2e7R"
LJA Engineering,SWEE,,,Sweeny,TX,77480,X,X,X,X
LJA Engineering,TAL3,1701 Hermitage Blvd,Suite 203,Tallahassee,FL,32308,30.48764062,-84.24753825,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Florida/Tallahassee,%20FL_(TAL3)_1701HermitageBlvd.pdf?csf=1&web=1&e=hkWDbx","https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Florida/EmergencyFloorplans/Tallahassee,%20FL_(TAL3)_1701HermitageBlvd_EmergencyPlan.pdf?csf=1&web=1&e=hBPGV2"
LJA Engineering,TAM2,12470 Telecom Drive,Suite 101E,Temple Terrace,FL,33637,28.0589623,-82.37871687,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Florida/TempleTerrace,%20FL_(TAM2)_12470TelecomDr.pdf?csf=1&web=1&e=kO5a8B","https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Florida/EmergencyFloorplans/TBD_TempleTerrace,%20FL_(TAM2)_12470TelecomDr_EmergencyPlan.pdf?csf=1&web=1&e=GPTHhL"
The WLB Group,TEMP,1600 W Broadway Rd,Suite 150,Tempe,AZ,85282,33.4081506,-111.9651975,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Arizona/Tempe,%20AZ_(TEMP)_1600WBroadwayRd.pdf?csf=1&web=1&e=UjQAcD","https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Arizona/EmergencyFloorplans/TBD_Tucson,%20AZ_(TEMP)_1600WBroadwayRd_EmergencyFloorplan.pdf?csf=1&web=1&e=jZiHEm"
LJA Engineering,TUC2,7458 N. La Cholla Blvd,,Tucson,AZ,85741,32.34263566,-111.0114253,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Arizona/Tucson,%20AZ_(TUC2)_7458NLaChollaBlvd.pdf?csf=1&web=1&e=YmOfh2","https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Arizona/EmergencyFloorplans/Tucson,%20AZ_(TUC2)_7458NLaChollaBlvd_EmergencyPlan.pdf?csf=1&web=1&e=FMJZ4O"
The WLB Group,TUC3,4444 East Broadway Blvd,,Tucson,AZ,85711,32.22113372,-110.8969935,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Arizona/Tucson,%20AZ_(TUC3)_4464%264444EastBroadwayBlvd.pdf?csf=1&web=1&e=nURslR","https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Arizona/EmergencyFloorplans/TBD_Tucson,%20AZ_(TUC3)_4444%264446%20EBroadwayBlvd_EmergencyFloorplan.pdf?csf=1&web=1&e=MeYyTB"
The WLB Group,VEGA,3663 E. Sunset Rd,Suite 204,Las Vegas,NV,89120,36.07101987,-115.0950749,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Nevada/LasVegas,%20NV_(VEGA)_3663ESunsetRd.pdf?csf=1&web=1&e=2e6A5U","https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Nevada/EmergencyFloorplans/TBD_LasVegas,%20NV_(VEGA)_3663ESunsetRd_EmergencyPlan.pdf?csf=1&web=1&e=DptFXc"
LJA Engineering,VERO,1708 21st Street,,Vero Beach,FL,32960,27.64027567,-80.40271619,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Florida/VeroBeach,%20FL_(VERO)_1708.21stSt.pdf?csf=1&web=1&e=ehgZps","https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Florida/EmergencyFloorplans/VeroBeach,%20FL_(VERO)_1708.21stSt_EmergencyPlan.pdf?csf=1&web=1&e=6uDBze"
LJA Engineering,WES2,1120 W 122nd Ave,Suite 105,Westminster,CO,80234,39.91738542,-105.0004329,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Colorado/Westminster,%20CO_(WES2)_1120W.122ndAve.pdf?csf=1&web=1&e=Y0ebMP","https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Colorado/EmergencyFloorplans/Westminster,%20CO_(WES2)_1120W.122ndAve.pdf?csf=1&web=1&e=AArFoB"
LJA Engineering,WEST,1765 W 121st Ave,Suite 300,Westminster,CO,80234,39.91761076,-105.0080684,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Colorado/Westminster,%20CO_(WEST)_1765W.121stAve.pdf?csf=1&web=1&e=eVqffQ","https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Colorado/EmergencyFloorplans/TBD_Westminster,%20CO_(WEST)_1765West121stAve_EmergencyPlan.pdf?csf=1&web=1&e=ZmihTw"
LJA Engineering,WIND,19 E. Candler St,Floor 2,Winder,GA,30680,33.99,-83.71977864,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Georgia/Winder,%20GA_(WIND)_19ECandlerSt.pdf?csf=1&web=1&e=0Ved1R","https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Georgia/EmergencyFloorplans/Winder,%20GA_(WIND)_19ECandlerSt_EmergencyPlan.pdf?csf=1&web=1&e=je5nQN"
LJA Engineering,WOO2,480 Wildwood Forest Dr,Suite 500,The Woodlands,TX,77380,30.12362993,-95.44877201,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Texas/TheWoodlands,%20TX_(WOO2)_480WildwoodForestDr.pdf?csf=1&web=1&e=wRMbXo","https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Texas/EmergencyFloorplans/TheWoodlands,%20TX_(WOO2)_480WildwoodForestDr_EmergencyPlan.pdf?csf=1&web=1&e=4Sq9v8"
,,,,,,,,,,
